task	suite	tests	failures	errors	skipped
p0Verification	com.jc.backend.CanonicalSqlBootstrapperTest	2	0	0	0
p0Verification	com.jc.backend.verification.JavaOnlyVerificationBoundaryTest	1	0	0	0
p0Verification	com.jc.backend.verification.P0BackendConvergenceStaticTest	1	0	0	0
p0Verification	com.jc.backend.verification.P0BehaviorRuntimeStaticTest	2	0	0	0
p0Verification	com.jc.backend.verification.P0CanaryDeliveryStaticTest	1	0	0	0
p0Verification	com.jc.backend.verification.P0PersistenceReplayStaticTest	1	0	0	0
p0Verification	com.jc.backend.verification.P0RecommendationStorageStaticTest	1	0	0	0
p0Verification	com.jc.backend.verification.P0RoleRoutingStaticTest	1	0	0	0
p0Verification	com.jc.backend.verification.P0ShadowOrchestrationStaticTest	1	0	0	0
p1BehaviorProfileIntegration	com.jc.backend.recommendation.application.RecommendationP1BehaviorProfileIntegrationTest	1	0	0	0
p1CanaryIntegration	com.jc.backend.recommendation.application.RecommendationP1CanaryIntegrationTest	1	0	0	0
p1ContractVerification	com.jc.backend.recommendation.application.RecommendationP1CandidateMapperTest	1	0	0	0
p1ContractVerification	com.jc.backend.recommendation.application.RecommendationP1ModeDeciderTest	4	0	0	0
p1ContractVerification	com.jc.backend.verification.P1RecommendationStaticTest	4	0	0	0
p1PreferenceIntegration	com.jc.backend.recommendation.application.RecommendationPreferenceIntegrationTest	1	0	0	0
p1ShadowIntegration	com.jc.backend.recommendation.application.RecommendationP1ShadowIntegrationTest	1	0	0	0
p2ContractVerification	com.jc.backend.verification.P2RecommendationStaticTest	5	0	0	0
p2EvaluationIntegration	com.jc.backend.recommendation.application.RecommendationP2EvaluationIntegrationTest	1	0	0	0
test	com.jc.backend.CanonicalSchemaJpaValidationTest	1	0	0	0
test	com.jc.backend.CanonicalSqlBootstrapperTest	2	0	0	0
test	com.jc.backend.JcBackendApplicationTests	1	0	0	0
test	com.jc.backend.SecurityErrorResponseIntegrationTest	3	0	0	0
test	com.jc.backend.auth.AuthRefreshTokenIntegrationTest	1	0	0	0
test	com.jc.backend.common.CursorCodecTest	1	0	0	0
test	com.jc.backend.crew.CrewApprovalIntegrationTest	2	0	0	0
test	com.jc.backend.crew.CrewConcurrencyIntegrationTest	1	0	0	0
test	com.jc.backend.crew.CrewListQueryIntegrationTest	1	0	0	0
test	com.jc.backend.database.DatabaseRoleRoutingIntegrationTest	9	0	0	0
test	com.jc.backend.post.FeedCursorIntegrationTest	1	0	0	0
test	com.jc.backend.post.PostApiIntegrationTest	2	0	0	0
test	com.jc.backend.post.PostImageIntegrationTest	1	0	0	0
test	com.jc.backend.post.PostInteractionIntegrationTest	1	0	0	0
test	com.jc.backend.post.PostListQueryIntegrationTest	1	0	0	0
test	com.jc.backend.post.PostVisibilityIntegrationTest	6	0	0	0
test	com.jc.backend.recommendation.RecommendationCandidateIntegrationTest	1	0	0	0
test	com.jc.backend.recommendation.RecommendationPersistenceIntegrationTest	3	0	0	0
test	com.jc.backend.recommendation.application.RecommendationBehaviorIntegrationTest	4	0	0	0
test	com.jc.backend.recommendation.application.RecommendationCanaryIntegrationTest	1	0	0	0
test	com.jc.backend.recommendation.application.RecommendationCanaryReadinessServiceTest	2	0	0	0
test	com.jc.backend.recommendation.application.RecommendationCursorCodecTest	1	0	0	0
test	com.jc.backend.recommendation.application.RecommendationModeDeciderTest	4	0	0	0
test	com.jc.backend.recommendation.application.RecommendationP1BehaviorProfileIntegrationTest	1	0	0	0
test	com.jc.backend.recommendation.application.RecommendationP1CanaryIntegrationTest	1	0	0	0
test	com.jc.backend.recommendation.application.RecommendationP1CandidateMapperTest	1	0	0	0
test	com.jc.backend.recommendation.application.RecommendationP1ModeDeciderTest	4	0	0	0
test	com.jc.backend.recommendation.application.RecommendationP1ShadowIntegrationTest	1	0	0	0
test	com.jc.backend.recommendation.application.RecommendationP2EvaluationIntegrationTest	1	0	0	0
test	com.jc.backend.recommendation.application.RecommendationPreferenceIntegrationTest	1	0	0	0
test	com.jc.backend.recommendation.application.RecommendationShadowIntegrationTest	1	0	0	0
test	com.jc.backend.recommendation.application.RecommendationShadowServiceTest	3	0	0	0
test	com.jc.backend.user.InactiveAccountIntegrationTest	1	0	0	0
test	com.jc.backend.verification.JavaOnlyVerificationBoundaryTest	1	0	0	0
test	com.jc.backend.verification.P0BackendConvergenceStaticTest	1	0	0	0
test	com.jc.backend.verification.P0BehaviorRuntimeStaticTest	2	0	0	0
test	com.jc.backend.verification.P0CanaryDeliveryStaticTest	1	0	0	0
test	com.jc.backend.verification.P0PersistenceReplayStaticTest	1	0	0	0
test	com.jc.backend.verification.P0RecommendationStorageStaticTest	1	0	0	0
test	com.jc.backend.verification.P0RoleRoutingStaticTest	1	0	0	0
test	com.jc.backend.verification.P0ShadowOrchestrationStaticTest	1	0	0	0
test	com.jc.backend.verification.P1RecommendationStaticTest	4	0	0	0
test	com.jc.backend.verification.P2RecommendationStaticTest	5	0	0	0
