source_event_type	target_event_type	compatibility	identity_requirement	exposure_requirement	primary_failure
impression	recommendation_impression	semantic_compatible	approved_subject_binding	general_exposure	missing_exposure_reference
view	post_view	semantic_compatible	approved_subject_binding	none	payload_unmappable
click	recommendation_click	semantic_compatible	approved_subject_binding	general_exposure	missing_exposure_reference
like	post_like	semantic_compatible	approved_subject_binding	none	missing_required_reference
unlike	post_unlike	semantic_compatible	approved_subject_binding	none	missing_required_reference
save	post_bookmark	semantic_compatible	approved_subject_binding	none	missing_required_reference
unsave	post_unbookmark	semantic_compatible	approved_subject_binding	none	missing_required_reference
share	post_share	semantic_compatible	approved_subject_binding	none	payload_unmappable
follow	follow	semantic_compatible	approved_subject_binding	none	missing_required_reference
unfollow	unfollow	semantic_compatible	approved_subject_binding	none	missing_required_reference
hide	post_hide	semantic_compatible	approved_subject_binding	none	payload_unmappable
report	post_report	semantic_compatible	approved_subject_binding	none	payload_unmappable
search	search_submit	semantic_compatible	approved_subject_binding	none	payload_unmappable
tag_click	tag_click	semantic_compatible	approved_subject_binding	none	payload_unmappable
crew_join	crew_join	semantic_compatible	approved_subject_binding	none	missing_required_reference
crew_leave	crew_leave	semantic_compatible	approved_subject_binding	none	missing_required_reference
