boundary	expected	observed	status
sql_01_42	unchanged	verify_from_git_diff	PENDING_CI
sql_43_plus	absent	verify_filesystem	PENDING_CI
jc_data_contracts	unchanged	verify_from_git_diff	PENDING_CI
production_java_kotlin	unchanged	verify_from_git_diff	PENDING_CI
recommendation_source	unchanged	verify_from_git_diff	PENDING_CI
search_source	unchanged	verify_from_git_diff	PENDING_CI
intelligence_source	unchanged	verify_from_git_diff	PENDING_CI
production_configuration	unchanged	verify_from_git_diff	PENDING_CI
api_v1_explore	unchanged	verify_from_git_diff	PENDING_CI
production_shadow	disabled	protected_baseline	PASS_STATIC
kill_switch	enabled	protected_baseline	PASS_STATIC
sampling_bps	0	protected_baseline	PASS_STATIC
cohort	empty	protected_baseline	PASS_STATIC
search_cutover	not_started	protected_baseline	PASS_STATIC
