metric	threshold	zero_denominator_policy	status
source_completeness_rate	1.0	NOT_APPLICABLE_OR_UNDEFINED	PROPOSED
projection_coverage_rate	1.0	NOT_APPLICABLE_OR_UNDEFINED	PROPOSED
lineage_completeness_rate	1.0	NOT_APPLICABLE_OR_UNDEFINED	PROPOSED
lineage_orphan_rate	0.0	POLICY_DEFINED_ZERO_CASE_ALLOWED	PROPOSED
duplicate_source_rate	policy_tolerance	NOT_APPLICABLE_OR_UNDEFINED	PROPOSED
duplicate_lineage_rate	0.0	POLICY_DEFINED_ZERO_CASE_ALLOWED	PROPOSED
snapshot_record_reconciliation_rate	1.0	NOT_APPLICABLE_OR_UNDEFINED	PROPOSED
snapshot_subject_reconciliation_rate	1.0	NOT_APPLICABLE_OR_UNDEFINED	PROPOSED
fingerprint_match_rate	1.0	NOT_APPLICABLE_OR_UNDEFINED	PROPOSED
identity_binding_valid_rate	1.0_when_required	NOT_APPLICABLE_WHEN_NOT_REQUIRED	PROPOSED
exposure_binding_valid_rate	1.0_for_outcome	NOT_APPLICABLE_FOR_PROFILE	PROPOSED
late_arrival_rate	policy_tolerance	NOT_APPLICABLE_OR_UNDEFINED	PROPOSED
conflict_rate	0.0_included_conflicts	POLICY_DEFINED_ZERO_CASE_ALLOWED	PROPOSED
rebuild_match_rate	1.0	NOT_APPLICABLE_OR_UNDEFINED	PROPOSED
