change	path	baseline_sha256	current_sha256
ADD	database/journey-connect-db-v2.7/27_search_document_projection.sql		0e99bff4803909f85404bd9fbb83b09dd259f190093cd633fbda8518e35ce3ec
ADD	database/journey-connect-db-v2.7/28_search_document_projection_smoke_test.sql		8db01e52ddcdae6907b8200013dbaa533203cbab9494b6a16888b7c1badb3f3b
ADD	docs/platform/intelligence/IP-11-5-AUTHORITATIVE-SEARCH-READ-PROJECTION.md		c650b8f85df1feb226bc741de5eecdc17073d9b506fe1ab1d076cb02ed9d28e8
ADD	docs/platform/intelligence/IP-11-5-EXTERNAL-ATTESTATION-AND-REGRESSION.md		3debc89895cf42f12b8cd2fa3bac11bf8a11b920eaaf5ffe5060bc2714c63d81
ADD	docs/platform/intelligence/IP-11-5-GO-NO-GO-DELTA.md		1ecbdb1662b829de17b9b368f092740912b4b06747f9aec4533b546dc491104d
ADD	docs/platform/intelligence/IP-11-5-HANDOFF.md		254f8d4800632a04e7a34d5b20d03f9818b370eb349c2788154b504b612d5241
ADD	docs/platform/intelligence/IP-11-5-KILL-SWITCH-AND-INTERNAL-COHORT-CONTRACT.md		961c3ecbb54ffec23b245fd5f6efdbb962ac779f6a1c0f1e4e5842b005365511
ADD	docs/platform/intelligence/IP-11-5-PRIVACY-SAFE-EVIDENCE-CONTRACT.md		ff3462c2d49a6d0ebe7ae61495b3bc39ec9d3ea38118fd92a672c0b12bb6d543
ADD	docs/platform/intelligence/IP-11-5-PRODUCTION-SHADOW-TECHNICAL-CONTROL-BLOCKER-CLOSURE.md		99aebb4be8707efb4c83c752d055dfaba7fddab5b72dddb8cfa3bed4f95fac09
ADD	docs/platform/intelligence/IP-11-5-RESOURCE-BUDGET-AND-OBSERVABILITY-CONTRACT.md		50d2eddef0b766e68b16b80dcb706d902745e16af81175f655774aa8f2deed82
ADD	docs/platform/intelligence/IP-11-5-VERIFICATION-AND-SELF-REVIEW.md		fc114fcfe3ec9fb9ab59e7c9996946c92a99eea5e8c43f45599a5e80784b5a80
ADD	docs/platform/intelligence/IP-11-5-VISIBILITY-ELIGIBILITY-AND-RUNTIME-INPUT-CONTRACT.md		78116e412afb82506482eee74090eef989bf33e57b93b2f8f7900fbc5753dd11
MODIFY	docs/platform/intelligence/IP-11-GO-NO-GO-MATRIX.md	75b1eeae666df316a8f159cd64adf116fbb2844009ee98cddc49bf42d5d72c11	46d9e9b02445cfdc2caa58b4855179178de1e0c62d07cd8348bc56e1c2f716e2
MODIFY	docs/platform/intelligence/README.md	0468345c7a971e25cc38228d5fd1eff2b571924933f2e9e9b8e798428076f235	e4a736b325fac8192da65f0463077efd94e17a78a91d5a9c5b877f45be289728
MODIFY	jc-backend/build.gradle.kts	2ecbaaba1d83aa6cfd3fac93533fdb591df1863d0a75d95b51d281477264d041	fa073814ea796530b82b4b137f696ebb923162f83458bdac63530b721a392dee
MODIFY	jc-backend/settings.gradle.kts	977c7791de91af9d19979adaab4d50cc03197df5ae4b1c7e8bdceaa7c194e8a8	f33046d120f3573daa0240d3dcf67be2a8044d78669ec36a26c90648714cd924
ADD	jc-backend/src/main/java/com/jc/backend/search/shadow/production/JdbcSearchDocumentProjectionStore.java		1abed63c13acbc0608093894dcc38c19fbedd7202d140a439da00ce28cf307ce
ADD	jc-backend/src/main/java/com/jc/backend/search/shadow/production/JdbcSearchProjectionRebuildService.java		f96d4a1098ea51fc692276e11e8811212183fb3ee3db40463382083153420747
ADD	jc-backend/src/main/java/com/jc/backend/search/shadow/production/ProductionSearchShadowTechnicalConfiguration.java		9507ba8160aff5ae001db96a16797ca2e280a8c6a1f74802fb4669f1dfc5b951
ADD	jc-backend/src/main/java/com/jc/backend/search/shadow/production/ProductionShadowTechnicalCapabilityCondition.java		6d5a6beb0d3ef0c4654c904c464fe77960113d80af573049ec41a925d5a6931b
ADD	jc-backend/src/main/java/com/jc/backend/search/shadow/production/ProductionShadowTechnicalCapabilityConfiguration.java		32e0af23781df78fdf5afa2fe4bcb6be1a9114143abc33f2ddd8a3bf3c3a03ea
ADD	jc-backend/src/test/java/com/jc/backend/search/shadow/production/IP115ProductionShadowStaticTest.java		297fcd0000ec7b4686bb4b6c459ec4995a213f32e7ad6b236681deed69443f72
ADD	jc-backend/src/test/java/com/jc/backend/search/shadow/production/ProductionKillSwitchCohortRegressionTest.java		65bd6bab6d35bd7ce468ed4cb571ef19112185ea79bcc4669d808bf9b2565359
ADD	jc-backend/src/test/java/com/jc/backend/search/shadow/production/ProductionProjectionAndEligibilityContractTest.java		3033bc71429c5204787d07a2ecd36fa81c1a243b7d11bf8278b4e5bee4361b9b
ADD	jc-backend/src/test/java/com/jc/backend/search/shadow/production/ProductionShadowTechnicalConfigurationTest.java		5f7f762be3f445081a0d199766e5627e5c917b29edce97e195dbb13722961a0a
ADD	jc-search-production-controls/build.gradle.kts		54a207ee4e3170d6be2087b08d54141164907cdfa210c078b92447031a96cb27
ADD	jc-search-production-controls/src/main/java/com/jc/intelligence/production/search/v1/AllowlistedInternalCohortSelector.java		281e88b05e346255e777afaa70175b9f5d51d080cb1ab06f34d8100b2d8dfe7e
ADD	jc-search-production-controls/src/main/java/com/jc/intelligence/production/search/v1/DisabledSearchShadowKillSwitch.java		d5a1a3704706f9ee94846969416d106ba153c4da5c4eea7a2a00dc0bd5e70211
ADD	jc-search-production-controls/src/main/java/com/jc/intelligence/production/search/v1/EmptyProductionShadowCohortSelector.java		16a795cbdad5588917b15143be84c94ecafe8535c70cff1e4b21f3c20bde6c2d
ADD	jc-search-production-controls/src/main/java/com/jc/intelligence/production/search/v1/InMemorySearchProjectionStore.java		f204631313ffa693aa7ccd6de5251dcc873429623d810edf638435788f87ba68
ADD	jc-search-production-controls/src/main/java/com/jc/intelligence/production/search/v1/InMemorySearchShadowEvidenceSink.java		6e437ea9e875b4954bf3573a26fe20e6282f50aa79075280273d3ec66192bdf2
ADD	jc-search-production-controls/src/main/java/com/jc/intelligence/production/search/v1/InMemorySearchShadowMetricSink.java		7189ea8049586456d3525e074643bcd2a5f8531f5cf2c658ef94120839e50a5f
ADD	jc-search-production-controls/src/main/java/com/jc/intelligence/production/search/v1/NoOpSearchShadowEvidenceSink.java		436b5efc5256839a0b93f4fdb0583f5f92cad9112328ab99cb0452eee7741411
ADD	jc-search-production-controls/src/main/java/com/jc/intelligence/production/search/v1/NoOpSearchShadowMetricSink.java		338951c1e71e31a634f36da6b33e01c4dbc91953fe338e1c57d815a97ecb0b1b
