status	baseline_path	current_path	baseline_sha256	current_sha256
RENAMED	docs/recommendation/contracts/Journey Connect ∞╢ö∞▓£ ∞òîΩ│áδª¼∞ªÿ Java ∞áä∞êÿ φÅ¼φîà δ░Å P0┬╖P1┬╖P2 ∞áü∞Ü⌐ ∞äñΩ│ä δ¬à∞ä╕.md	docs/recommendation/contracts/recommendation-algorithm-java-porting-spec.md	e92d80d59cb9ffc44406cfba98fac47b93b5a4d7dac1db18d160b27b31fde735	e92d80d59cb9ffc44406cfba98fac47b93b5a4d7dac1db18d160b27b31fde735
RENAMED	docs/recommendation/contracts/∞ù¼∞áò ∞òîΩ│áδª¼∞ªÿ Ω░£δ░£ Ω│ä∞ò╜∞ä£.txt	docs/recommendation/contracts/journey-algorithm-development-contract.txt	82c2a204ba87cddc21248bdd5427bdd87989fae1b3ddda3f371459a39364965e	82c2a204ba87cddc21248bdd5427bdd87989fae1b3ddda3f371459a39364965e
RENAMED	docs/#Uc774#Uac83#Uc800#Uac83#Uc815#Ub9ac.md	docs/git-cache-and-branch-commands.md	a102f24f9c38636d0cf1be325ff1737c82db55cc66bd8a703efa2367be3b1d73	a102f24f9c38636d0cf1be325ff1737c82db55cc66bd8a703efa2367be3b1d73
RENAMED	docs/recommendation/#Uc5ec#Uc815 #Uc54c#Uace0#Ub9ac#Uc998 #Uac1c#Ubc1c #Uacc4#Uc57d#Uc11c.txt	docs/recommendation/recommendation-versioning-and-stability-notes.txt	82c2a204ba87cddc21248bdd5427bdd87989fae1b3ddda3f371459a39364965e	82c2a204ba87cddc21248bdd5427bdd87989fae1b3ddda3f371459a39364965e
RENAMED	docs/recommendation/Journey Connect #U7570#Ubdbf#Ucfc7 _#Ub6ad#Ud02c#U7531#U044a#Ucb01 Java _#Uafa9#Ub2d4 _#U044b#Ub63f #U8adb_P0#Uca0cP1#Uca0cP2 _#Uacf8#Uc29c _#U317a#Ud00e #Uf9cf#Ub086#Uaf6d.md	docs/recommendation/recommendation-algorithm-java-porting-spec-legacy-copy.md	e92d80d59cb9ffc44406cfba98fac47b93b5a4d7dac1db18d160b27b31fde735	e92d80d59cb9ffc44406cfba98fac47b93b5a4d7dac1db18d160b27b31fde735
RENAMED	docs/recommendation/Journey Connect #Ucd94#Ucc9c #Uc54c#Uace0#Ub9ac#Uc998 Java #Uc804#Uc218 #Ud3ec#Ud305 #Ubc0f P0#U00b7P1#U00b7P2 #Uc801#Uc6a9 #Uc124#Uacc4 #Uba85#Uc138.md	docs/recommendation/recommendation-algorithm-java-porting-spec.md	f12757f50bc37f84e131584c040b16fddd335c20b10aa80bea074ac6da9d5a93	f12757f50bc37f84e131584c040b16fddd335c20b10aa80bea074ac6da9d5a93
RENAMED	docs/recommendation/_#U044a#Uc819 _#Ub6ad#Ud02c#U7531#U044a#Ucb01 #U5a9b#Uc495#Ucefb #U6028#Uafa9#Ube5f__txt	docs/recommendation/recommendation-versioning-and-stability-notes-legacy-copy.txt	82c2a204ba87cddc21248bdd5427bdd87989fae1b3ddda3f371459a39364965e	82c2a204ba87cddc21248bdd5427bdd87989fae1b3ddda3f371459a39364965e
RENAMED	jc-backend/#Ubc31#Uc5d4#Ub4dc-#Ud750#Ub984#Uae30#Ub85d.md	jc-backend/backend-initializer-and-local-db-setup.md	9a54e4e185c29581545d7b11e960c7a27fe54b4403c5a47236cf86052ecd7716	9a54e4e185c29581545d7b11e960c7a27fe54b4403c5a47236cf86052ecd7716
RENAMED	jc-backend/0716-#Ubc31#Uc5d4#Ub4dc-#Uc218#Uc815#Uc0ac#Ud56d.md	jc-backend/backend-implementation-history-2026-07-16.md	a4aad8789c1999760448e177490411e08bfe5f866eb5c8905a3f76c20d593699	a4aad8789c1999760448e177490411e08bfe5f866eb5c8905a3f76c20d593699
RENAMED	jc-frontend/#Ud504#Ub860#Ud2b8#Uc5d4#Ub4dc-#Ud750#Ub984#Uae30#Ub85d.md	jc-frontend/frontend-initial-setup.md	823e0f558c96879262f90646fae9703e3adf4fa1dbc9a5260830bca2cb3f9372	823e0f558c96879262f90646fae9703e3adf4fa1dbc9a5260830bca2cb3f9372
ADDED		docs/platform/intelligence/IP-11-EMERGENCY-DISABLE-AND-ROLLBACK-RUNBOOK.md		c5c937f584fcd714cf48e4245c67ced991063301b81abda1eb51f38a88a55140
ADDED		docs/platform/intelligence/IP-11-EXTERNAL-ATTESTATION-PLAN.md		193b2919472d3b9ef70d34c5d5eb888642a902e3f8aff6c2367de78c0883e957
ADDED		docs/platform/intelligence/IP-11-GO-NO-GO-MATRIX.md		75b1eeae666df316a8f159cd64adf116fbb2844009ee98cddc49bf42d5d72c11
ADDED		docs/platform/intelligence/IP-11-HANDOFF.md		6d0655b95b514c21ac41b03394d81dc149eb088971cf2f906490f2a3849ad3fb
