path	status	phase	baseline_sha256	current_sha256
database/journey-connect-db-v2.7/28_search_document_projection_smoke_test.sql	MODIFIED	IP11_9_RECONSTRUCTED_DELTA	8db01e52ddcdae6907b8200013dbaa533203cbab9494b6a16888b7c1badb3f3b	499e4f2e469f06705ecff574e8115eb32db021ac2e871cc0f1cf18c727e81617
docs/platform/intelligence/IP-11-5-GO-NO-GO-DELTA.md	MODIFIED	IP12	f53d6e866895819ca38223f5ddbb2e3278abb58fa3170f612a627fa6656cc7a2	45cc23f238370389a07bf424eb68f43eb4379e769c3a7bbc9915cf500b3f4404
docs/platform/intelligence/IP-11-5-HANDOFF.md	MODIFIED	IP12	f3580ca0e66b37e2cadd36998e24de66b686c096869b786515d71a003bf67698	c1dba1467e65ea5475d98579e97eb924df1b97aee6c7570f750ab8db44a26f6f
docs/platform/intelligence/IP-11-75-HANDOFF.md	MODIFIED	IP12	038898619f41a821ec8e2ad3ace3b11ec908e255d869511d090cd65fe3c1dfd5	e181c6902d69b63042d9c97a506b06a3213999793c8cc86b71230969dd26a8ce
docs/platform/intelligence/IP-11-9-ACCOUNT-ALLOWLIST-CONTRACT.md	ADDED	IP11_9_RECONSTRUCTED_DELTA		180f5149ceee045090c3497908b5a5673793756d03b0bd0cbc73759f50e56962
docs/platform/intelligence/IP-11-9-EXECUTION-ENVIRONMENT-AND-ATTESTATION-RESULT.md	ADDED	IP11_9_RECONSTRUCTED_DELTA		002077608eb449b9e66e32419e1e7161bc9c88f0acbdcc67b5fe68f6ff62ed46
docs/platform/intelligence/IP-11-9-EXTERNAL-ATTESTATION-AND-OPERATIONAL-READINESS-CLOSURE.md	ADDED	IP11_9_RECONSTRUCTED_DELTA		9c2145e1721ec24a432128322defde0698b8ec0866ae06e48659f797cb240857
docs/platform/intelligence/IP-11-9-EXTERNAL-ATTESTATION-CORRECTION.md	ADDED	IP11_9_RECONSTRUCTED_DELTA		70df1f7bc55964eb5234995ca87f65bce8a845ccdff2e9e3aeed8c944d232be9
docs/platform/intelligence/IP-11-9-GO-NO-GO-REASSESSMENT.md	ADDED	IP11_9_RECONSTRUCTED_DELTA		3ff49423a807b3e43eff96bf1649301c1a512a9e5729fe3003c721f1147c4997
docs/platform/intelligence/IP-11-9-HANDOFF.md	ADDED	IP11_9_RECONSTRUCTED_DELTA		3b9a840dd753ade8d0ebcaa0345bf35e70688d2b24cdb40426584863d303824f
docs/platform/intelligence/IP-11-9-KILL-SWITCH-RESTART-AND-DISABLE-DRILL.md	ADDED	IP11_9_RECONSTRUCTED_DELTA		04e68c0eedd2903e0c5e6de7f3959dd88315dd0339f59c419b9961e3757eacfe
docs/platform/intelligence/IP-11-GO-NO-GO-MATRIX.md	MODIFIED	IP12	e4198e7c14a0abcdd27d9486bf805f2bdf0371bac2b0b715524916374735c57f	b7c659f2d6d0cbd4a0efa2174cb632ffb6421c56c0fca4d83abe85a5c0d72b65
docs/platform/intelligence/IP-11-HANDOFF.md	MODIFIED	IP12	00425e7ac03e26643526f96159fccda0b7b61b403dd458311d514797bd0e691c	027af86ab3c89cf3081cfdf1a039fc91845902d57894ad38e664551185d5094a
docs/platform/intelligence/IP-12-CONTROLLED-PRODUCTION-SHADOW-OPERATIONAL-WIRING.md	ADDED	IP12		d8757a7e3784576d2fca0c3a0cb2226b1ba9de69ed6dcdb4fc650cf7b6760ac2
docs/platform/intelligence/IP-12-GO-NO-GO-DELTA.md	ADDED	IP12		2d07fb6cd951bdde10fc5ca6cac1b30605e6c8ff7efad167cc9a50e62ebd8c59
docs/platform/intelligence/IP-12-HANDOFF.md	ADDED	IP12		49258c3d1e5141cfe267ba99ad9b10a9fd384c612e16ccf2b27b528e65062625
docs/platform/intelligence/IP-12-INTERNAL-ACCOUNT-ALLOWLIST-IMPLEMENTATION.md	ADDED	IP12		d0dba334433231047f4afd9d3350e76d32f0f83ed2145fc4567751b080a0ba30
docs/platform/intelligence/IP-12-KILL-SWITCH-AND-DISABLE-DRILL.md	ADDED	IP12		676fdf2aefafc8f9f5cba38773f3e10ed119334ef64ebaec869156f0d90e1ada
docs/platform/intelligence/IP-12-MICROMETER-AND-STRUCTURED-LOGGING.md	ADDED	IP12		4850ca297a49b4b15e8b5d85d0b2e8757a379e1c256c5e03f51de91e8a464f06
docs/platform/intelligence/IP-12-PRODUCTION-PROPERTY-AND-ACTIVATION-CONTRACT.md	ADDED	IP12		4c0a93653fcfe15ea2ebea67a0095b263552057da509ec6ff8490a625c5a2bb3
docs/platform/intelligence/IP-12-SECURITY-PRIVACY-AND-FAILURE-ISOLATION-REVIEW.md	ADDED	IP12		5a35b299498047b7931b2ababec2083ae6aac9636c7be52afa4087d52bad1316
docs/platform/intelligence/IP-12-TEN-BPS-ENFORCEMENT-AND-SAMPLING-CONTRACT.md	ADDED	IP12		8f72dcf3075afb6d3d82ebe61e046c7eb6ed8e72280021ac609d35bcd34c6845
docs/platform/intelligence/IP-12-VERIFICATION-AND-SELF-REVIEW.md	ADDED	IP12		529fe96fbfe2569de6988bb458c6b2e94713ea3e1d6e961e4dd69b3a9fb4703f
docs/platform/intelligence/README.md	MODIFIED	IP12	99c2877d27f35fa75eb26ddcaaac7a518822cb9040be2468629a88a76e5144fd	4919227405804307ed62f9c8f9a2870c73231ac64991a42232c6462284136f1d
jc-backend/build.gradle.kts	MODIFIED	IP12	fa073814ea796530b82b4b137f696ebb923162f83458bdac63530b721a392dee	90d81d6a789b736cc9bd511ec2e8647594a75265425ad31c37db30ce576e7c33
