lane	dimension	status	work_start_sha
COMMON	SOURCE_CHECKPOINT_PARITY	checkpoint mismatch/stale	5a0ca52c8226a0f4a6e21f9af96c7da0732c8d5b
COMMON	SOURCE_LINEAGE_PARITY	lineage mismatch	5a0ca52c8226a0f4a6e21f9af96c7da0732c8d5b
P1	AGGREGATE_WINDOW_PARITY	required	5a0ca52c8226a0f4a6e21f9af96c7da0732c8d5b
P1	DERIVED_VALUE_PARITY	required	5a0ca52c8226a0f4a6e21f9af96c7da0732c8d5b
P1	EVENT_GRAIN_MISSING	required	5a0ca52c8226a0f4a6e21f9af96c7da0732c8d5b
P1	EXACT_FIELD_PARITY	required	5a0ca52c8226a0f4a6e21f9af96c7da0732c8d5b
P1	EXPLICIT_PREFERENCE_MISSING	required	5a0ca52c8226a0f4a6e21f9af96c7da0732c8d5b
P1	FINGERPRINT_SEMANTICS_PROTECTED	required	5a0ca52c8226a0f4a6e21f9af96c7da0732c8d5b
P1	IDENTITY_BLOCKED	required	5a0ca52c8226a0f4a6e21f9af96c7da0732c8d5b
P1	ORDERING_NOT_COMPARABLE	required	5a0ca52c8226a0f4a6e21f9af96c7da0732c8d5b
P1	TRANSFORM_POLICY_MISSING	required	5a0ca52c8226a0f4a6e21f9af96c7da0732c8d5b
P2	ASSIGNMENT_PARITY	required	5a0ca52c8226a0f4a6e21f9af96c7da0732c8d5b
P2	CANONICAL_DATASET_HASH_PROTECTED	required	5a0ca52c8226a0f4a6e21f9af96c7da0732c8d5b
P2	ENGAGEMENT_EVENT_PARITY	required	5a0ca52c8226a0f4a6e21f9af96c7da0732c8d5b
P2	EXPOSURE_REFERENCE_PARITY	required	5a0ca52c8226a0f4a6e21f9af96c7da0732c8d5b
P2	FALLBACK_BINDING_PARITY	required	5a0ca52c8226a0f4a6e21f9af96c7da0732c8d5b
P2	IDENTITY_BLOCKED	required	5a0ca52c8226a0f4a6e21f9af96c7da0732c8d5b
P2	OBSERVATION_DEDUPE_GAP	required	5a0ca52c8226a0f4a6e21f9af96c7da0732c8d5b
P2	OUTCOME_WINDOW_PARITY	required	5a0ca52c8226a0f4a6e21f9af96c7da0732c8d5b
P2	RELEASE_EVIDENCE_PROTECTED	required	5a0ca52c8226a0f4a6e21f9af96c7da0732c8d5b
P2	STALE_UNEXPOSED_ASSIGNMENT_GAP	required	5a0ca52c8226a0f4a6e21f9af96c7da0732c8d5b
P2	SUBJECT_SESSION_RUN_PARITY	required	5a0ca52c8226a0f4a6e21f9af96c7da0732c8d5b
