lane	dimension	status
P1	QUERY_RESULT_PARITY	REQUIRED
P1	CHECKPOINT_PARITY	REQUIRED
P1	SNAPSHOT_ISOLATION_PARITY	REQUIRED
P1	ROW_ORDER_PARITY	REQUIRED
P1	NULL_SEMANTICS_PARITY	REQUIRED
P1	NUMERIC_NORMALIZATION_PARITY	REQUIRED
P1	TIMEZONE_NORMALIZATION_PARITY	REQUIRED
P1	DUPLICATE_ROW_DETECTION	REQUIRED
P1	SOURCE_ROW_COUNT_PARITY	REQUIRED
P2	QUERY_RESULT_PARITY	REQUIRED
P2	CHECKPOINT_PARITY	REQUIRED
P2	EXPOSURE_ROW_UNIQUENESS	REQUIRED
P2	OUTCOME_ROW_UNIQUENESS	REQUIRED
P2	DUPLICATE_OBSERVATION_DETECTION	REQUIRED
P2	WINDOW_BOUNDARY_SQL_PARITY	REQUIRED
P2	EVENT_TYPE_FILTER_PARITY	REQUIRED
P2	FALLBACK_JOIN_PARITY	REQUIRED
P2	ASSIGNMENT_VERSION_JOIN_PARITY	REQUIRED
P2	SOURCE_ROW_COUNT_PARITY	REQUIRED
