check	rca1b_status
work_start_and_sc4_merge	PASS_REQUIRED
rca1_contract_and_fixture_regression	PASS_REQUIRED
canonical_sql_protection	PASS_REQUIRED
postgresql_15_execution	PASS_REQUIRED
postgresql_18_execution	PASS_REQUIRED
read_only_role_attributes	PASS_REQUIRED
server_visible_read_only	PASS_REQUIRED
permission_negative_tests	PASS_REQUIRED
query_registry_and_fingerprint	PASS_REQUIRED
deterministic_seed	PASS_REQUIRED
p1_database_reconciliation	PASS_REQUIRED
p2_database_reconciliation	PASS_REQUIRED
checkpoint_lineage	PASS_REQUIRED
evidence_redaction	PASS_REQUIRED
cross_version_equivalence	PASS_REQUIRED
recommendation_core_regression	PASS_REQUIRED
backend_regression	PASS_REQUIRED
runtime_dark_read	NOT_APPLICABLE
production_database_validation	NOT_EXECUTED
production_traffic	NOT_EXECUTED
canary	NOT_EXECUTED
load	NOT_EXECUTED
replay	NOT_EXECUTED
actual_identity_mapping	NOT_EXECUTED
production_credential_validation	NOT_EXECUTED
production_activation	NOT_EXECUTED
