counter	status	detail
reconciliation_case_count	NOT_EXECUTED	RCA-1 implementation separate PR
p1_exact_match_count	NOT_EXECUTED	RCA-1 implementation separate PR
p1_expected_gap_count	NOT_EXECUTED	RCA-1 implementation separate PR
p1_unexpected_mismatch_count	NOT_EXECUTED	RCA-1 implementation separate PR
p2_exact_match_count	NOT_EXECUTED	RCA-1 implementation separate PR
p2_migration_required_count	NOT_EXECUTED	RCA-1 implementation separate PR
p2_authority_mismatch_count	NOT_EXECUTED	RCA-1 implementation separate PR
identity_blocked_count	NOT_EXECUTED	RCA-1 implementation separate PR
checkpoint_mismatch_count	NOT_EXECUTED	RCA-1 implementation separate PR
lineage_mismatch_count	NOT_EXECUTED	RCA-1 implementation separate PR
inconclusive_count	NOT_EXECUTED	RCA-1 implementation separate PR
