field	value	status
IDENTITY_MAPPING_OWNER	NOT_REQUIRED_FOR_MODEL_A_SYNTHETIC_ONLY	APPROVED
IDENTITY_MAPPING_AUTHORITY	NONE	APPROVED
IDENTITY_MAPPING_STORAGE	STATIC_TEST_FIXTURE_ONLY	APPROVED
IDENTITY_MAPPING_RETENTION	FIXTURE_VERSION_LIFETIME	APPROVED
IDENTITY_MAPPING_DELETION	REMOVE_WITH_FIXTURE_VERSION	APPROVED
IDENTITY_MAPPING_INVALIDATION	FIXTURE_VERSION_INVALIDATION_ONLY	APPROVED
IDENTITY_MAPPING_AUDIT	HASHED_CASE_AND_CLASSIFICATION_ONLY	APPROVED
IDENTITY_MAPPING_PURPOSE_BINDING	RCA1_OFFLINE_RECONCILIATION_ONLY	APPROVED
IDENTITY_MAPPING_LOGGING_POLICY	NO_RAW_ID_OR_MAPPING_PAIR	APPROVED
IDENTITY_MAPPING_FAILURE_POLICY	FAIL_CLOSED	APPROVED
REAL_IDENTITY_MAPPING_OWNER	DEFERRED	BLOCKED
