dimension	comparison	acceptance	detail	owner
EXPOSURE_REFERENCE_PARITY	EXACT	ZERO_MISMATCH	P2 exposure authority	Reliability
ASSIGNMENT_PARITY	EXACT	ZERO_MISMATCH	experiment/version/variant	Reliability
SUBJECT_SESSION_RUN_PARITY	EXACT	ZERO_MISMATCH	synthetic binding	Reliability
OUTCOME_WINDOW_PARITY	EXACT	604800_ONLY	exposure-relative seconds	Reliability
ENGAGEMENT_EVENT_PARITY	EXACT	CLICK_LIKE_SAVE_SHARE_ONLY	no view/hide/report	Reliability
FALLBACK_BINDING_PARITY	EXACT	BOUND_RUN_ONLY	run_status fallback	Reliability
STALE_UNEXPOSED_ASSIGNMENT_GAP	CATEGORICAL	MIGRATION_REQUIRED	detect exclusion gap	Reliability
OBSERVATION_DEDUPE_GAP	CATEGORICAL	MIGRATION_REQUIRED	experiment/version/subject key	Reliability
CANONICAL_DATASET_HASH_PROTECTED	PROTECTED	PROTECTED_AUTHORITY_DIFFERENCE	no recalculation	Reliability+SC
RELEASE_EVIDENCE_PROTECTED	PROTECTED	PROTECTED_AUTHORITY_DIFFERENCE	no read/modify payload	Reliability+SC
IDENTITY_BLOCKED	FAIL_CLOSED	IDENTITY_MAPPING_REQUIRED	synthetic binding required	SC
