result	status
MATCH_EXACT	allowed
MATCH_DERIVED	allowed
EXPECTED_SEMANTIC_GAP	allowed
MIGRATION_REQUIRED	allowed
IDENTITY_MAPPING_REQUIRED	allowed
IDENTITY_SCHEME_MISMATCH	allowed
SOURCE_CHECKPOINT_MISMATCH	allowed
SOURCE_STALE	allowed
LINEAGE_MISMATCH	allowed
EXPOSURE_AUTHORITY_MISMATCH	allowed
OUTCOME_WINDOW_MISMATCH	allowed
FALLBACK_BINDING_MISMATCH	allowed
PROTECTED_AUTHORITY_DIFFERENCE	allowed
RECONCILIATION_INCONCLUSIVE	allowed
RUNTIME_READY	forbidden
PRODUCTION_READY	forbidden
CUTOVER_READY	forbidden
AUTHORITATIVE	forbidden
AUTHORITY_TRANSFERRED	forbidden
