lane	dimension	status
P1	QUERY_RESULT_PARITY	APPROVED
P1	CHECKPOINT_PARITY	APPROVED
P1	SNAPSHOT_ISOLATION_PARITY	APPROVED
P1	ROW_ORDER_PARITY	APPROVED
P1	NULL_SEMANTICS_PARITY	APPROVED
P1	NUMERIC_NORMALIZATION_PARITY	APPROVED
P1	TIMEZONE_NORMALIZATION_PARITY	APPROVED
P1	DUPLICATE_ROW_DETECTION	APPROVED
P1	SOURCE_ROW_COUNT_PARITY	APPROVED
P2	QUERY_RESULT_PARITY	APPROVED
P2	CHECKPOINT_PARITY	APPROVED
P2	EXPOSURE_ROW_UNIQUENESS	APPROVED
P2	OUTCOME_ROW_UNIQUENESS	APPROVED
P2	DUPLICATE_OBSERVATION_DETECTION	APPROVED
P2	WINDOW_BOUNDARY_SQL_PARITY	APPROVED
P2	EVENT_TYPE_FILTER_PARITY	APPROVED
P2	FALLBACK_JOIN_PARITY	APPROVED
P2	ASSIGNMENT_VERSION_JOIN_PARITY	APPROVED
P2	SOURCE_ROW_COUNT_PARITY	APPROVED
