property	value	status
role_required	YES_EPHEMERAL_TEST_ONLY	CONDITIONALLY_APPROVED
role_name	rca1b_readonly	APPROVED
login_allowed	YES_EPHEMERAL_ONLY	APPROVED
inherit_allowed	NO	APPROVED
bypassrls_allowed	NO	APPROVED
createdb_allowed	NO	APPROVED
createrole_allowed	NO	APPROVED
replication_allowed	NO	APPROVED
schema_usage	EXPLICIT_ALLOWLIST_ONLY	APPROVED
table_select	EXPLICIT_ALLOWLIST_ONLY	APPROVED
sequence_select	NO	APPROVED
function_execute	NO_PRIVILEGED_FUNCTIONS	APPROVED
default_privileges	NONE	APPROVED
write_grant	FORBIDDEN	APPROVED
owner_role_use	FORBIDDEN	APPROVED
