check	sc4_status	rca1b_implementation_status
baseline_merge_tree	PASS	PASS_REQUIRED
contract_fixture_inventory	PASS	PASS_REQUIRED
decision_uniqueness	PASS	PASS_REQUIRED
governance_diff_boundary	PASS	PASS_REQUIRED
sql_source_config_protection	PASS	PASS_REQUIRED
postgresql_reconciliation	NOT_EXECUTED	PASS_REQUIRED
role_permission_test	NOT_EXECUTED	PASS_REQUIRED
actual_query_execution	NOT_EXECUTED	PASS_REQUIRED
read_only_write_block_test	NOT_EXECUTED	PASS_REQUIRED
cross_version_equivalence	NOT_EXECUTED	PASS_REQUIRED
runtime_dark_read	NOT_APPLICABLE	NOT_APPLICABLE
canary	NOT_APPLICABLE	NOT_APPLICABLE
load	NOT_EXECUTED	NOT_EXECUTED
replay	NOT_EXECUTED	NOT_EXECUTED
production_validation	NOT_APPLICABLE	NOT_APPLICABLE
actual_identity_mapping	NOT_APPLICABLE	NOT_APPLICABLE
