key	value
repository	gycha0109-beep/journey-connect-backend
work_start_sha	3efbf96ebf25ae1645a62f35269c4b569425a9ca
pr27_number	27
pr27_merged	YES
pr27_merge_sha	3efbf96ebf25ae1645a62f35269c4b569425a9ca
rca1b_exact_final_head	dbb6b5397ad0fe675856b195e280faf9a0f3030c
merge_tree_equivalent	YES
rca1b_completion	RCA1B_NONPRODUCTION_READONLY_RECONCILIATION_COMPLETE
postgresql_matrix	15,18
cross_version_result	PASS
p1_result	RECONCILED_WITH_EXPECTED_GAPS
p2_result	RECONCILED_WITH_MIGRATION_GAPS
read_only_boundary	ENFORCED
query_allowlist_boundary	ENFORCED
checkpoint_boundary	ENFORCED
lineage_boundary	ENFORCED
production_db	FORBIDDEN_NOT_USED
production_traffic	NONE
actual_identity_mapping	NOT_IMPLEMENTED
sql_01_52	PROTECTED
sql_53_plus	ABSENT_UNALLOCATED
current_authority	UNCHANGED
rca2_prior_state	SEPARATE_SC_APPROVAL_REQUIRED
