metric	type	allowed_labels	owner	retention	alert	slo
shadow_request_count	counter	environment,lane,flag_version,deployment_version	Operations	30d	YES	NO
shadow_execution_count	counter	environment,lane,flag_version,deployment_version	Operations	30d	YES	NO
shadow_success_count	counter	environment,lane,result_class	Operations	30d	YES	NO
shadow_timeout_count	counter	environment,lane,error_class	Reliability/Operations	30d	YES	NO
shadow_exception_count	counter	environment,lane,error_class	Reliability/Operations	30d	YES	NO
shadow_circuit_open_count	counter	environment,lane	Operations	30d	YES	NO
shadow_queue_rejected_count	counter	environment,lane	Operations	30d	YES	NO
shadow_late_result_discard_count	counter	environment,lane	Operations	30d	YES	NO
shadow_latency_ms	histogram	environment,lane,result_class	Operations	30d	YES	NO
primary_latency_ms	histogram	environment,lane	Operations	30d	YES	NO
p1_result_mismatch_count	counter	environment,result_class	Intelligence	30d	YES	NO
p2_result_mismatch_count	counter	environment,result_class	Reliability	30d	YES	NO
checkpoint_mismatch_count	counter	environment,lane	Data	30d	YES	NO
lineage_mismatch_count	counter	environment,lane	Data	30d	YES	NO
stale_candidate_count	counter	environment,lane	Data	30d	YES	NO
identity_blocked_count	counter	environment,lane,error_class	Privacy/Security	30d	YES	NO
redaction_failure_count	counter	environment,lane	Privacy/Security	30d	YES_IMMEDIATE_KILL	NO
