abort_id	condition	action	status
ABORT-001	redaction_failure_count > 0	GLOBAL_SHADOW_DISABLE	PASS
ABORT-002	response_mutation_count > 0	GLOBAL_SHADOW_DISABLE	PASS
ABORT-003	database_write_count > 0	GLOBAL_SHADOW_DISABLE	PASS
ABORT-004	event_emission_count > 0	GLOBAL_SHADOW_DISABLE	PASS
ABORT-005	production_route_detection_count > 0	NETWORK_ROUTE_REVOKE	PASS
ABORT-006	authority_mismatch_count > 0	GLOBAL_SHADOW_DISABLE	PASS
ABORT-007	timeout_rate_percent > 20	LANE_KILL_SWITCH	PASS
ABORT-008	exception_rate_percent > 25	LANE_KILL_SWITCH	PASS
ABORT-009	queue_rejection_rate_percent > 5	LANE_KILL_SWITCH	PASS
ABORT-010	late_discard_rate_percent > 5	LANE_KILL_SWITCH	PASS
ABORT-011	raw identity used as cohort key	GLOBAL_SHADOW_DISABLE	PASS
ABORT-012	feature flag not explicitly and manually enabled	FLAG_OFF	PASS
ABORT-013	any blocking approval missing	FLAG_OFF	PASS
ABORT-014	observation contract not satisfied	FLAG_OFF	PASS
