metric	type	owner	allowed_labels	purpose	implementation_status
traffic_selection_evaluated_total	counter	Operations	lane,stage,result	Stage 1 selection evaluations	REQUIRED_NOT_IMPLEMENTED
traffic_selection_selected_total	counter	Operations	lane,stage	Selected test subjects	REQUIRED_NOT_IMPLEMENTED
stable_hash_cohort_bucket	gauge	Operations	stage	Stable hash bucket distribution	REQUIRED_NOT_IMPLEMENTED
shadow_submission_total	counter	Operations	lane,result	Submission attempts	REQUIRED_NOT_IMPLEMENTED
shadow_execution_started_total	counter	Operations	lane	Started executions	REQUIRED_NOT_IMPLEMENTED
shadow_execution_completed_total	counter	Operations	lane,result	Completed executions	REQUIRED_NOT_IMPLEMENTED
shadow_timeout_total	counter	Reliability	lane	Timeouts	REQUIRED_NOT_IMPLEMENTED
shadow_exception_total	counter	Reliability	lane,class	Exceptions with bounded class	REQUIRED_NOT_IMPLEMENTED
shadow_queue_rejection_total	counter	Operations	lane	Queue rejections	REQUIRED_NOT_IMPLEMENTED
shadow_late_discard_total	counter	Operations	lane	Late result discards	REQUIRED_NOT_IMPLEMENTED
shadow_cancellation_total	counter	Operations	lane,reason	Cancellations	REQUIRED_NOT_IMPLEMENTED
shadow_executor_active	gauge	Operations	lane	Active executor count	REQUIRED_NOT_IMPLEMENTED
shadow_executor_queue_depth	gauge	Operations	lane	Executor queue depth	REQUIRED_NOT_IMPLEMENTED
shadow_task_age_milliseconds	histogram	Operations	lane	Task age	REQUIRED_NOT_IMPLEMENTED
shadow_total_duration_milliseconds	histogram	Operations	lane,result	Total shadow duration	REQUIRED_NOT_IMPLEMENTED
shadow_checkpoint_lag_seconds	histogram	Data	lane	Measurement-only checkpoint lag	REQUIRED_NOT_IMPLEMENTED
shadow_lineage_mismatch_total	counter	Data	lane,class	Lineage mismatch	REQUIRED_NOT_IMPLEMENTED
shadow_p1_expected_protected_gap_total	counter	Intelligence	gap_class	Expected/protected P1 gaps	REQUIRED_NOT_IMPLEMENTED
shadow_p1_unexpected_mismatch_total	counter	Intelligence	mismatch_class	Unexpected P1 mismatches	REQUIRED_NOT_IMPLEMENTED
shadow_p2_migration_gap_total	counter	Reliability	gap_class	Known P2 migration gaps	REQUIRED_NOT_IMPLEMENTED
shadow_p2_unexpected_mismatch_total	counter	Reliability	mismatch_class	Unexpected P2 mismatches	REQUIRED_NOT_IMPLEMENTED
shadow_redaction_failure_total	counter	Privacy/Security	lane	Redaction failures	REQUIRED_NOT_IMPLEMENTED
shadow_response_mutation_total	counter	Reliability	lane	Primary response mutation detections	REQUIRED_NOT_IMPLEMENTED
shadow_database_write_total	counter	Data	lane	Database write detections	REQUIRED_NOT_IMPLEMENTED
shadow_event_emission_total	counter	Data	lane	Event emission detections	REQUIRED_NOT_IMPLEMENTED
shadow_production_route_detection_total	counter	Operations	lane	Production route detections	REQUIRED_NOT_IMPLEMENTED
shadow_authority_mismatch_total	counter	SystemCoordination	lane	Authority mismatch detections	REQUIRED_NOT_IMPLEMENTED
