threshold	maximum	unit	action	status
timeout_rate_percent	20	PERCENT	ABORT_OR_LANE_DISABLE	PASS
exception_rate_percent	25	PERCENT	ABORT_OR_LANE_DISABLE	PASS
queue_rejection_rate_percent	5	PERCENT	ABORT_OR_LANE_DISABLE	PASS
late_discard_rate_percent	5	PERCENT	ABORT_OR_LANE_DISABLE	PASS
redaction_failure_count	0	COUNT	IMMEDIATE_GLOBAL_ABORT	PASS
response_mutation_count	0	COUNT	IMMEDIATE_GLOBAL_ABORT	PASS
database_write_count	0	COUNT	IMMEDIATE_GLOBAL_ABORT	PASS
event_emission_count	0	COUNT	IMMEDIATE_GLOBAL_ABORT	PASS
production_route_detection_count	0	COUNT	IMMEDIATE_GLOBAL_ABORT	PASS
authority_mismatch_count	0	COUNT	IMMEDIATE_GLOBAL_ABORT	PASS
